Biciproblema 1,BP1 estandarizado,Biciproblema 2,BP2 estandarizado ,Biciproblema 3,BP3 estandarizado ,"Venis en bici a la escuela?
Siempre - Nunca - A veces",Cómo venis?,Transporte 1,Transporte 2,Transporte 3,Transporte 4,"A qué distancia
vivís de la escuela?",Distancia en KM,"Tenés un smartphone/
telefono inteligente?"
La moto es más rápida,,Con la moto no me canso,,Puedo traer a alguien en la moto,,Nunca,En moto,,,,,2 cuadras,0.2,No se
No tengo,,Tengo que traer muchas cosas al liceo,,Salgo sobre la hora,,Nunca,En moto,,,,,5 cuadras,0.5,Si
No tengo bici,,Tengo que traer muchas cosas al liceo,,Se me hace tarde,,Nunca,En moto,,,,,6 cuadras,0.6,No
Es más rápido venir en moto,,Vivo lejos,,Se puede traer a otra persona,,Nunca,En moto,,,,,2 km,2,No se
Me gusta andar en bici,,Es lo más cómodo y accesible,,Si estoy apurado o tengo algún problema es lo más fácil tomar la bici,,Siempre,En bici,,,,,10 cuadras,1,No se
Muchas cosas para traer,,Tener más tiempo,,Si olvido algo y tengo que volver a buscarlo,,Nunca,en moto,,,,,"1,5 km",1.5,No
Porque vivo lejos,,No tengo bici,,Si vengo en moto puedo dormir un poco más,,Nunca,En moto,,,,,9 cuadras,0.9,No
Comodidad,,Tiempo,,Sueño,,Nunca,En moto,,,,,8 cuadras,0.8,Si
Me canso,,Transpiro,,Tardo más,,Nunca,Caminando o en moto,,,,,4 cuadras,0.4,Si
Cuando hace frío vengo en bici,,Me queda un poco lejos,,Tardo más tiempo,,A veces,Bici o moto,,,,,1 Km,1,Si
Uso la bici proque es el medio de transporte que tengo,,Tengo que traer ropa proque llego transpirada,,Tengo que salir antes para llegar a tiempo,,Siempre,En bici,,,,,5 cuadras,0.5,No
Por comodidad,,Me levanto tarde,,Tenemos que traer muchas cosas al liceo,,Nunca,En moto o en auto,,,,,7 cuadras,7,No se
No tengo bici,,No tengo tiempo,,Tengo asma y me cansa mucho,,Nunca,Caminando,,,,,8 cuadras,0.8,Si
Vivo lejos,,Me lleva mucho tiempo llegar,,Tengo la bici rota,,Nunca,En moto,,,,,7 km,7,Si
Vengo todos los dias en bici,,Me hace sentir bien,,Tengo miedo a que me la roben,,Siempre,en bici,,,,,1 km,1,No
Me queda muy cerca,,no me gusta andar en bici,,Tengo miedo que me roben la bici,,Nunca,caminando,,,,,3 cuadras,0.3,No
Vivo lejos ,,Me canso trayendo mochila y tiodo lo demás,,tengo moto,,Nunca,en moto,,,,,2km,2,No se
Vivo lejos ,,Está rota,,Tengo moto,,Nunca,en moto,,,,,3 km,3,Si
Vivo lejos,,No me gusta andar en bici,,Tengo problemas respiratorios,,Nunca,En moto,,,,,13 cuadras,1.3,No
Viajo de otra ciudad,,Hay poco lugares donde poder dejarla,,Tengo que salir antes de mi casas para llegar a destino,,Nunca,en òmnibus,,,,,20 km,20,Si
Porque no me gusta,,Me queda muy lejos,,Tengo que salir mucho antes y no tengo voluntad,,Nunca,En moto,,,,,15 cuadras,1.5,No
No me gusta andar en bici,,Vengo en moto por comodidad,,Tengo que traer muchas al liceo por eso no vengo en bici,,Nunca,En moto,,,,,7 cuadras,0.7,No se
Me queda lejos el liceo,,No me dan ganas ,,Tenrdía que levantarme más temprano,,A veces,Moto o bici,,,,,30 cuadras,3,Si
Lento,,Lejos,,Transpiro,,Nunca,en moto,,,,,5 km,5,Si
No me gusta,,No tengo bici,,Transpiro y me canso,,Nunca,caminando,,,,,6 cuadras,0.6,Si
No tengo ganas,,Mal estado de las calles,,Vivo cerca,,A veces,en bici o caminando,,,,,"1,5 km",1.5,No
No se estila andar en bici,,No tengo,,Vivo cerca,,Nunca,Caminando,,,,,6 cuadras,0.6,No se
Falta de tiempo,,Transpiro,,Vivo lejos,,Nunca,en moto,,,,,"2,5 km",2.5,Si
Me levanto tarde,,Tengo la bici rota,,Vivo lejos,,Nunca,En moto,,,,,10 cuadras,1,No se
No soy de Carmelo,,No tengo bici,,Vivo muy lejos,,Nunca,en ómnibus,,,,,20 km,20,Si
Vivo muy lejos,,No tengo bici,,Vvio sobre la ruta y es peligroso andar en moto,,Nunca,En ómnibus,,,,,7 km,7,No
No vengo en bici porque tardo en sacarla,,,,,,A veces,En bici o caminando,,,,,10 cuadras,1,No se
No ando mucho en bici por los pozos,,,,,,A veces,Caminando o en bici,,,,,13 cuadras,1.3,No
Vengo caminando por los pozos,,,,,,A veces,En bici,,,,,10 cuadras,1,Si
no me gusta andar en bici,,,,,,Nunca,caminando,,,,,12  cuadras,1.2,No
No me gusta andar en bici,,,,,,Nunca,En moto,,,,,"1,5 km",1.5,No se
No me gusta andar en bici,,,,,,Nunca,Caminando,,,,,7 cuadras,0.7,No se
No tengo bici,,,,,,Nunca,Caminando o en auto,,,,,7 cuadras,0.7,No
No tengo bici,,,,,,Nunca,Caminando,,,,,14 cuadras,1.4,No
No tengo bici ,,,,,,Nunca,caminando,,,,,14 cuadras,1.4,No
No tengo bici ,,,,,,Nunca,caminando o en auto,,,,,3 km,3,Si
Porque no tengo,,,,,,Nunca,caminando,,,,,2 km,2,No
salimnos de noche y el barrio no esta iluminado,,,,,,A veces,en moto,,,,,10 cuadras,1,No
Me gusta caminar,,,,,,Nunca,Caminando,,,,,12 cuadras,1.2,No
Si tengo tiempo prefiero caminar,,,,,,A veces,Caminando o en moto,,,,,22 cuadras,2.2,No
Está rota,,,,,,Nunca,Caminando,,,,,7 cuadras,0.7,No
me da miedo que me la roben/,,,,,,Nunca,en moto,,,,,20 cuadras,2,Si
me la robaron,,,,,,Nunca,caminando,,,,,10 cuadras,1,Si
No me da el tiempo,,,,,,A veces,en moto ,,,,,10 cuadras,1,No se
No me dan los horarios,,,,,,A veces,En moto o bici,,,,,15 cuadras,1.5,No se
Distancia,,,,,,Nunca,en moto,,,,,25 cuadras,2.5,Si
Distancia,,,,,,Nunca,En ómnibus,,,,,20 km,2,Si
No vivo en Carmelo,,,,,,Nunca,en ómnibus,,,,,21 km,21,No
Porque soy de N. Palmira,,,,,,Nunca,En ómnibus,,,,,20 km,20,No
soy de N. Palmira,,,,,,Nunca,en ómnibus,,,,,22 km,22,No
Soy de N. Palmira,,,,,,Nunca,En ómnibus,,,,,20 km,20,Si
Soy de N.Palmira,,,,,,Nunca,en ómnibus,,,,,22 km,22,No
Vengo de N.Palmira,,,,,,Nunca,En ómnibus,,,,,20 km,20,No se
vivo a 30 km,,,,,,Nunca,en ómnibus,,,,,30 km,30,Si
vivo a 40 km,,,,,,Nunca,en ómnibus,,,,,40 km,40,Si
Vivo en el campo,,,,,,Nunca,Micro,,,,,30km,30,No
Vivo en N. Palmira,,,,,,Nunca,En ómnibus,,,,,21 km,21,Si
Vivo en N. Palmira,,,,,,Nunca,En ómnibus,,,,,21 km,21,No
vivo enfrente del liceo,,,,,,Nunca,caminando,,,,,media cuadra,0.05,No
Vivo lejos,,,,,,Nunca,En moto,,,,,10 cuadras,1,No se
Vivo lejos,,,,,,Nunca,En moto,,,,,4 km,4,Si
Vivo lejos,,,,,,Nunca,En moto,,,,,3 km,3,No
Vivo lejos,,,,,,Nunca,En moto,,,,,2 km,2,No
Vivo lejos ,,,,,,A veces,bici o micro,,,,,5 km,5,No
Vivo lejos ,,,,,,Nunca,en ómnibus,,,,,36 km,36,Si
Vivo cerca,,,,,,Nunca,Caminando,,,,,3 cuadras,0.3,Si
Vivo cerca,,,,,,A veces,Caminando o en bici,,,,,5 cuadras,0.5,No se
Vivo cerca del liceo,,,,,,A veces,A pie o en bici,,,,,3 cuadras,0.3,Si
